Date,FeedIn,SelfConsumption,Production,Consumption,Purchased
2018-08-16 00:00:00,36024.0,7964.0,43988.0,13332.0,5368.0
2018-08-17 00:00:00,17029.0,6035.0,23064.0,12080.0,6045.0
2018-08-18 00:00:00,17978.0,9662.0,27640.0,16047.0,6385.0
2018-08-19 00:00:00,28915.0,8442.0,37357.0,13312.0,4870.0
2018-08-20 00:00:00,31785.0,7381.0,39166.0,12855.0,5474.0
2018-08-21 00:00:00,30439.0,9787.0,40226.0,14835.0,5048.0
2018-08-22 00:00:00,32246.0,8687.0,40933.0,14741.0,6054.0
2018-08-23 00:00:00,32732.0,6812.0,39544.0,11853.0,5041.0
2018-08-24 00:00:00,15136.0,5400.0,20536.0,11927.0,6527.0
2018-08-25 00:00:00,3612.0,2743.0,6355.0,8637.0,5894.0
2018-08-26 00:00:00,37129.0,7311.0,44440.0,15379.0,8068.0
2018-08-27 00:00:00,30890.0,5614.0,36504.0,11433.0,5819.0
2018-08-28 00:00:00,31202.0,8295.0,39497.0,12742.0,4447.0
2018-08-29 00:00:00,17555.0,7025.0,24580.0,13421.0,6396.0
2018-08-30 00:00:00,9067.0,6299.0,15366.0,13477.0,7178.0
2018-08-31 00:00:00,762.0,2395.0,3157.0,11158.0,8763.0
2018-09-01 00:00:00,5814.0,2158.0,7972.0,9194.0,7036.0
2018-09-02 00:00:00,8237.0,2408.0,10645.0,10159.0,7751.0
2018-09-03 00:00:00,17685.0,7210.0,24895.0,15316.0,8106.0
2018-09-04 00:00:00,29737.0,10702.0,40439.0,16519.0,5817.0
2018-09-05 00:00:00,29522.0,9804.0,39326.0,15667.0,5863.0
2018-09-06 00:00:00,22348.0,6332.0,28680.0,12624.0,6292.0
2018-09-07 00:00:00,14510.0,6431.0,20941.0,13357.0,6926.0
2018-09-08 00:00:00,31576.0,9456.0,41032.0,14508.0,5052.0
2018-09-09 00:00:00,30874.0,8940.0,39814.0,14650.0,5710.0
2018-09-10 00:00:00,26403.0,7361.0,33764.0,13572.0,6211.0
2018-09-11 00:00:00,28289.0,10189.0,38478.0,16570.0,6381.0
2018-09-12 00:00:00,30611.0,5601.0,36212.0,10948.0,5347.0
2018-09-13 00:00:00,21713.0,7576.0,29289.0,14693.0,7117.0
2018-09-14 00:00:00,22987.0,7147.0,30134.0,12476.0,5329.0
2018-09-15 00:00:00,28614.0,6137.0,34751.0,11526.0,5389.0
2018-09-16 00:00:00,16084.0,4295.0,20379.0,9340.0,5045.0
2018-09-17 00:00:00,30404.0,6703.0,37107.0,12216.0,5513.0
2018-09-18 00:00:00,21161.0,9003.0,30164.0,15268.0,6265.0
2018-09-19 00:00:00,26369.0,8921.0,35290.0,14806.0,5885.0
2018-09-20 00:00:00,29512.0,6495.0,36007.0,11817.0,5322.0
2018-09-21 00:00:00,11868.0,5444.0,17312.0,11618.0,6174.0
2018-09-22 00:00:00,21294.0,11630.0,32924.0,18777.0,7147.0
2018-09-23 00:00:00,11262.0,6551.0,17813.0,14235.0,7684.0
2018-09-24 00:00:00,25090.0,6518.0,31608.0,13185.0,6667.0
2018-09-25 00:00:00,29522.0,9762.0,39284.0,15788.0,6026.0
2018-09-26 00:00:00,27246.0,9154.0,36400.0,17266.0,8112.0
2018-09-27 00:00:00,30055.0,6652.0,36707.0,13228.0,6576.0
2018-09-28 00:00:00,28683.0,6313.0,34996.0,13062.0,6749.0
2018-09-29 00:00:00,13915.0,9000.0,22915.0,15702.0,6702.0
2018-09-30 00:00:00,20589.0,8706.0,29295.0,17553.0,8847.0
2018-10-01 00:00:00,6055.0,2678.0,8733.0,12404.0,9726.0
2018-10-02 00:00:00,10603.0,8575.0,19178.0,19334.0,10759.0
2018-10-03 00:00:00,11301.0,8414.0,19715.0,15696.0,7282.0
2018-10-04 00:00:00,27514.0,7229.0,34743.0,14656.0,7427.0
2018-10-05 00:00:00,26555.0,7177.0,33732.0,13992.0,6815.0
2018-10-06 00:00:00,13822.0,9811.0,23633.0,18515.0,8704.0
2018-10-07 00:00:00,18298.0,12697.0,30995.0,22120.0,9423.0
2018-10-08 00:00:00,12139.0,8390.0,20529.0,16323.0,7933.0
2018-10-09 00:00:00,15228.0,6921.0,22149.0,14753.0,7832.0
2018-10-10 00:00:00,22496.0,10082.0,32578.0,17775.0,7693.0
2018-10-11 00:00:00,6162.0,6545.0,12707.0,13386.0,6841.0
2018-10-12 00:00:00,21066.0,8832.0,29898.0,16496.0,7664.0
2018-10-13 00:00:00,20730.0,10120.0,30850.0,16589.0,6469.0
2018-10-14 00:00:00,19782.0,9598.0,29380.0,16991.0,7393.0
2018-10-15 00:00:00,21236.0,8339.0,29575.0,16177.0,7838.0
2018-10-16 00:00:00,17815.0,11530.0,29345.0,18593.0,7063.0
2018-10-17 00:00:00,19045.0,7742.0,26787.0,15328.0,7586.0
2018-10-18 00:00:00,15054.0,7960.0,23014.0,16130.0,8170.0
